word1,word2,average_score
волонтер,девиз,3.33
гайбәт,тану,1.03
бизәү,батырлык,1.79
гасыр,милләт,3.85
кичектерү,фашизм,0.51
кичектерү,яңалыклар,1.79
министр,партия,7.44
тынычлык,план,1.03
азчылык,тынычлык,1.28
тырышу,тынычлык,0.77
хөкүмәт,кризис,6.67
урнаштыру,китү,1.54
урнаштыру,табыш,0.77
энергия,кризис,1.79
белдерү,яңалыклар,8.46
инсульт,хастаханә,9.23
гарип,үлем,4.1
корбан,һәлакәт,6.15
дәвалау,тергезү,7.69
журнал,берләшмә,3.08
табиб,җаваплылык,5.9
җаваплылык,бурыч,7.18
мәктәп,үзәк,2.56
сәбәп,чир,4.1
сәбәп,хакыйкать,2.05
йөз,процент,8.21
үлем,хөкем,5.38
үлем,тоткын,4.62
адвокат,исбат,8.46
тормыш,юл,7.44
сүз,охшаш,3.33
шура,киңәш,6.92
хаким,интервью,1.54
БМО,ил,7.69
тынычлык,атмосфера,3.08
тынычлык,бурыч,1.28
җир,километр,5.9
ярыш,бәя,3.08
кулланучылар,ышаныч,2.82
кулланучылар,энергия,0.51
мәсьәлә,аэропорт,0.26
машина,очу,2.56
кредит,карта,8.97
кредит,мәгълүмат,3.08
кунакханә,бүлмә,8.72
ашамлыклар,акча,4.36
теркәү,килешү,4.36
килешү,торак,0.77
ай,кунакханә,0.77
килү,кунакханә,5.38
урын-җир,мендәр,5.38
тукыма,кием-салым,8.46
хәл,нәтиҗә,3.08
хәл,төрмә,2.31
гаделлек,кызыксыну,0.77
юнәлеш,борылыш,8.21
урам,балалар,5.38
исемлек,якынлык,0.77
исемлек,төркем,4.87
җитештерү,сәфәр,0.26
билге,күрсәткеч,7.44
ММЧ,сәүдә,2.82
ММЧ,табыш,2.31
барлыгы,исәп-хисап,6.15
тәңкә,базар,7.44
казылмалар,нефть,9.49
нефть,акция,4.36
белдерү,җитештерү,1.79
белдерү,кисәтү,6.92
керем,кисәтү,0.26
доллар,керем,7.95
доллар,чыгым,7.95
компьютер,программа,9.49
челтәр,мәгълүмат,6.92
җиһазлар,җитештерүче,5.9
арба,машина,6.92
биш,ай,2.56
хисап,табыш,4.87
иганәче,кертем,7.95
хоккей,ярымфинал,8.46
уен,җиңү,8.72
уен,төркем,7.44
уен,мәзәк,4.1
уен,җиңелү,8.46
колхоз,хыял,1.03
балыкчылык,диңгез,8.97
ризык,хәзерләү,7.18
видео,архив,7.95
старт,ел,3.59
старт,матч,7.44
уен,кагыйдәләр,8.72
бокс,сугу,9.23
көрәшү,җиңелү,7.95
чират,бурыч,1.28
көн,җәй,6.67
җәй,корылык,7.69
җәй,табигать,7.18
көн,таң,7.44
табигать,әйләнә-тирә,8.21
әйләнә-тирә,экология,8.46
табигать,кеше,6.15
драма,түгәрәк,5.64
тормыш,дәрес,4.62
максат,тормыш,5.64
җитештерү,төркем,2.56
телевизор,фильм,7.69
каршылык,талашу,7.95
караучы,сайлау,3.08
мөмкинлек,кыз,1.03
халык,үсеш,2.82
әхлак,мөһимлек,2.31
әхлак,өйләнү,3.08
җенес,тигезлек,4.62
үзгәреш,мөнәсәбәт,2.31
гаилә,планлаштыру,6.15
опера,сәнәгать,4.1
шикәр,ысул,0.26
куллану,оешма,0.51
министрлык,мәдәният,5.64
мәсьәлә,кыенлык,6.41
дан,танылу,9.23
ил,гражданин,8.46
планета,кешеләр,7.44
үсеш,мәсьәлә,2.05
тәҗрибә,музыка,2.05
музыка,проект,4.36
мөмкинлек,ышаныч,1.79
күргәзмә,истәлек,3.85
концерт,оста,4.36
күзәтү,архитектура,3.59
галәм,дөнья,9.74
саклау,дөнья,4.36
керү,билет,8.21
яңгыр,ташкын,6.92
һава,дым,7.18
һәлакәт,өлкә,2.05
хаким,вазифа,5.64
архитектура,гасыр,5.9
